english,french
the,le
of,de
and,et
in,dans
for,pour
is,est
the,le
that,ce
on,sur
said,dit
with,avec
to be,être
was,était
by,par
are,sont
at,à
from,de
has,a
an,an
have,avoir
will,Will
or,ou
he,il
not,pas
were,étaient
which,qui
this,Ceci
but,Mais
can,peut
more,Plus
his,son
their,Leur
also,Aussi
they,Ils
million,millions
had,avait
who,Qui
In,Dans
one,un
you,Vous
new,Nouveau
other,Autre
year,Année
all,Tous
two,Deux
But,Mais
company,Société
system,Système
some,Certains
when,Quand
out,dehors
last,Dernière
only,seulement
after,après
first,d'abord
time,Temps
says,dit
He,il
years,ans
market,Marché
no,Non
we,nous
could,pourrait
if,si
people,Les gens
percent,pourcent
such,tel
This,Ceci
most,la plupart
use,Utiliser
because,Parceque
any,Tout
data,Données
government,gouvernement
may,mai
software,Logiciel
so,donc
New,Nouveau
now,maintenant
many,beaucoup
used,Utilisé
program,Programme
systems,Systèmes
three,Trois
do,faire
between,entre
billion,milliards
what,quoi
per,par
make,faire
before,avant
should,devrait
these,ces
down,Down
under,en dessous
made,Fabriqué
companies,Compagnies
much,Beaucoup
work,travail
users,utilisateurs
like,comme
business,Business
support,Support
just,Juste
each,chacun
those,ceux
her,elle
well,bien
since,Depuis
she,Elle
information,Informations
both,les deux
being,Être
your,Votre
products,Produits
president,Président
share,Partager
sales,ventes
where,où
say,Dites
network,Réseau
against,contre
We,Nous
while,Tant que
If,Si
week,semaine
price,Prix
group,groupe
way,Voie
during,pendant
state,État
still,jusqu'a
same,même
then,alors
number,Numéro
They,Ils
our,Notre
very,très
shares,actions
next,Suivant
including,y compris
set,Ensemble
applications,Applications
available,Disponible
how,Comment
prices,Prix
take,Prendre
him,Lui
American,Américain
using,Utilisation
back,retour
expected,attendu
good,bon
And,et
another,un autre
several,Plusieurs
months,mois
end,fin
report,Rapport
product,Produit
industry,Industrie